Date,Open,High,Low,Close,Adj Close,Volume
2016-08-11,25.040001,25.266666,24.926666,25.176666,24.977209,5138100
2016-08-12,25.030001,25.186666,24.940001,25.103333,24.904455,4341300
2016-08-15,25.243334,25.453333,25.240000,25.336666,25.135937,4698600
2016-08-16,25.133333,25.163334,24.920000,24.920000,24.722576,4924800
2016-08-17,24.930000,25.110001,24.596666,25.053333,24.854849,7981500
2016-08-18,25.053333,25.243334,25.003334,25.230000,25.030119,4198500
2016-08-19,25.030001,25.186666,24.836666,25.113333,24.914375,4379400
2016-08-22,25.020000,25.196667,24.866667,25.106667,24.907761,4967400
2016-08-23,25.353333,25.476667,25.233334,25.250000,25.049959,5521200
2016-08-24,25.193333,25.236666,24.700001,24.893333,24.696121,8085300
2016-08-25,24.709999,24.980000,24.646667,24.790001,24.593605,7881600
2016-08-26,24.886667,25.293333,24.320000,24.673334,24.477863,11051100
2016-08-29,24.719999,25.136667,24.713333,25.026667,24.828396,3921600
2016-08-30,24.996666,25.113333,24.690001,24.893333,24.696121,6725100
2016-08-31,24.776667,24.816668,24.386667,24.683332,24.487785,8063400
2016-09-01,24.703333,24.809999,24.230000,24.703333,24.507626,6656700
2016-09-02,25.020000,25.200001,24.799999,25.020000,24.821783,7529700
2016-09-06,25.133333,25.270000,24.853333,25.260000,25.059883,7985400
2016-09-07,25.186666,25.316668,25.000000,25.253334,25.053267,7367100
2016-09-08,25.110001,25.216667,24.946667,25.063334,24.864773,6006900
2016-09-09,24.566668,24.566668,23.256666,23.276667,23.092260,15630300
2016-09-12,22.963333,24.416666,22.933332,24.246666,24.054575,13200300
2016-09-13,23.753334,23.850000,22.966667,23.196667,23.012892,14765700
2016-09-14,23.216667,23.683332,22.969999,23.163334,22.979826,10289400
2016-09-15,23.113333,24.016666,23.046667,23.866667,23.677588,8953800
2016-09-16,23.629999,23.700001,23.323334,23.596666,23.409725,8020800
2016-09-19,23.843334,24.096666,23.483334,23.590000,23.403112,6104700
2016-09-20,23.940001,23.996666,23.600000,23.620001,23.432875,5124600
2016-09-21,23.866667,24.463333,23.610001,24.400000,24.211134,10553400
2016-09-22,24.790001,24.969999,24.696667,24.840000,24.647728,9306300
2016-09-23,24.693333,24.750000,24.410000,24.453333,24.264051,4437300
2016-09-26,24.113333,24.183332,23.773333,23.850000,23.665392,8748300
2016-09-27,23.786667,24.326666,23.633333,24.299999,24.111906,5324100
2016-09-28,24.373333,24.706667,24.000000,24.650000,24.459198,5457000
2016-09-29,24.566668,24.723333,23.766666,23.983334,23.797693,9373500
2016-09-30,24.309999,24.786667,24.203333,24.546667,24.356665,6307500
2016-10-03,24.340000,24.423334,24.090000,24.313334,24.125139,6953700
2016-10-04,24.396667,24.466667,23.736666,23.976667,23.791077,9263700
2016-10-05,24.193333,24.440001,24.180000,24.293333,24.105293,6792900
2016-10-06,24.186666,24.406666,23.973333,24.333334,24.144983,4272000
2016-10-07,24.430000,24.500000,23.783333,24.070000,23.883688,8791500
2016-10-10,24.440001,24.626667,24.386667,24.433332,24.244207,4812600
2016-10-11,24.270000,24.303333,23.236666,23.543333,23.361097,13562100
2016-10-12,23.576666,23.816668,23.379999,23.629999,23.447092,7408800
2016-10-13,23.106667,23.573334,22.780001,23.389999,23.208950,9104700
2016-10-14,23.776667,23.930000,23.386667,23.413334,23.232103,10283100
2016-10-17,23.403334,23.500000,23.096666,23.186666,23.007191,6743100
2016-10-18,23.773333,23.783333,23.453333,23.583334,23.400785,5202600
2016-10-19,23.686666,23.900000,23.559999,23.780001,23.595932,4641000
2016-10-20,23.646667,23.863333,23.393333,23.650000,23.466936,6855300
2016-10-21,23.343334,23.713333,23.283333,23.663334,23.480169,5097900
2016-10-24,24.000000,24.120001,23.850000,23.963333,23.777843,5151900
2016-10-25,23.916666,24.006666,23.676666,23.760000,23.576088,7155300
2016-10-26,23.426666,23.813334,23.326666,23.610001,23.427248,6405300
2016-10-27,23.873333,23.876667,23.376667,23.410000,23.228794,6940800
2016-10-28,23.379999,23.650000,22.930000,23.183332,23.003881,11109900
2016-10-31,23.313334,23.400000,23.129999,23.166666,22.987347,4799100
2016-11-01,23.309999,23.330000,22.230000,22.700001,22.524292,9615900
2016-11-02,22.566668,22.709999,22.110001,22.266666,22.094311,7334100
2016-11-03,22.353333,22.426666,21.866667,21.969999,21.799942,7119600
2016-11-04,22.000000,22.313334,21.836666,21.866667,21.697409,8193600
2016-11-07,22.809999,23.346666,22.756666,23.306667,23.126263,8663400
2016-11-08,23.180000,23.866667,23.083334,23.623333,23.440479,8106900
